epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
12,0.8580383658409119,9.999999747378752e-06,0.4182513654232025,0.8527397513389587,0.4464080035686493
13,0.8724188804626465,9.999999747378752e-06,0.35679179430007935,0.8561643958091736,0.42725425958633423
14,0.8738937973976135,9.999999747378752e-06,0.34929266571998596,0.8373287916183472,0.46336469054222107
15,0.8938053250312805,9.999999747378752e-06,0.30583083629608154,0.823630154132843,0.49603500962257385
16,0.8967551589012146,4.999999873689376e-06,0.29389986395835876,0.857876718044281,0.41341814398765564
17,0.9041298031806946,4.999999873689376e-06,0.2674209773540497,0.8647260069847107,0.39429327845573425
18,0.898598849773407,4.999999873689376e-06,0.2892944812774658,0.8613013625144958,0.3972529172897339
19,0.905236005783081,4.999999873689376e-06,0.27507513761520386,0.8698630332946777,0.3753526508808136
20,0.9048672318458557,4.999999873689376e-06,0.2525685727596283,0.8664383292198181,0.39488887786865234
21,0.9155604839324951,4.999999873689376e-06,0.251991331577301,0.8630136847496033,0.39574605226516724
22,0.9214601516723633,2.499999936844688e-06,0.23227454721927643,0.8715753555297852,0.3739546537399292
23,0.9185103178024292,2.499999936844688e-06,0.2295508086681366,0.8767123222351074,0.37445950508117676
24,0.9162979125976562,2.499999936844688e-06,0.23207810521125793,0.8801369667053223,0.3679659366607666
25,0.9181416034698486,2.499999936844688e-06,0.22736552357673645,0.8595890402793884,0.3923531770706177
26,0.9255162477493286,2.499999936844688e-06,0.20864176750183105,0.8715753555297852,0.37541934847831726
27,0.9233038425445557,1.249999968422344e-06,0.2181238979101181,0.8784246444702148,0.3615835905075073
28,0.9273598790168762,1.249999968422344e-06,0.20126871764659882,0.8732876777648926,0.37517809867858887
29,0.9177728891372681,1.249999968422344e-06,0.2189951241016388,0.8784246444702148,0.36702463030815125
30,0.9258849620819092,9.999999974752427e-07,0.21582680940628052,0.8767123222351074,0.3672953248023987
31,0.9266223907470703,9.999999974752427e-07,0.2073202282190323,0.8801369667053223,0.36045998334884644
32,0.9269911646842957,9.999999974752427e-07,0.205450639128685,0.8784246444702148,0.36527836322784424
33,0.9236725568771362,9.999999974752427e-07,0.20703411102294922,0.8852739930152893,0.36295729875564575
34,0.9229351282119751,9.999999974752427e-07,0.20785942673683167,0.8818492889404297,0.3676871061325073
35,0.9277285933494568,9.999999974752427e-07,0.20290520787239075,0.8852739930152893,0.3544483780860901
36,0.9306784868240356,9.999999974752427e-07,0.199398010969162,0.8835616707801819,0.3601304888725281
37,0.9266223907470703,9.999999974752427e-07,0.20825539529323578,0.8835616707801819,0.35937604308128357
38,0.9269911646842957,9.999999974752427e-07,0.19766710698604584,0.8801369667053223,0.3575517535209656
39,0.9332596063613892,9.999999974752427e-07,0.19554010033607483,0.8767123222351074,0.3603854179382324
