epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
12,0.7990412712097168,9.999999747378752e-06,0.5945524573326111,0.8715753555297852,0.3985533118247986
13,0.8167403936386108,9.999999747378752e-06,0.5302104353904724,0.8801369667053223,0.3662562072277069
14,0.8185840845108032,9.999999747378752e-06,0.5089669227600098,0.8835616707801819,0.3535294532775879
15,0.8318583965301514,9.999999747378752e-06,0.4595758318901062,0.8852739930152893,0.33859238028526306
16,0.8274336457252502,9.999999747378752e-06,0.4601001441478729,0.892123281955719,0.3256740868091583
17,0.8480826020240784,9.999999747378752e-06,0.4225880801677704,0.892123281955719,0.30864518880844116
18,0.8554572463035583,9.999999747378752e-06,0.4048613905906677,0.8938356041908264,0.3070513904094696
19,0.8632006049156189,9.999999747378752e-06,0.380219042301178,0.8955479264259338,0.3009869158267975
20,0.866150438785553,9.999999747378752e-06,0.36744722723960876,0.8989726305007935,0.29856982827186584
21,0.8738937973976135,9.999999747378752e-06,0.34661850333213806,0.892123281955719,0.2967938184738159
22,0.8746312856674194,9.999999747378752e-06,0.36088788509368896,0.8972602486610413,0.27682915329933167
23,0.8797935247421265,9.999999747378752e-06,0.3277101218700409,0.9006849527359009,0.2851657271385193
24,0.8971238732337952,9.999999747378752e-06,0.29678505659103394,0.9041095972061157,0.2744472920894623
25,0.8882743120193481,9.999999747378752e-06,0.3138222098350525,0.8869863152503967,0.29575496912002563
26,0.8915929198265076,9.999999747378752e-06,0.29941484332084656,0.9075342416763306,0.26967716217041016
27,0.88974928855896,9.999999747378752e-06,0.30240580439567566,0.9041095972061157,0.26605746150016785
28,0.892699122428894,9.999999747378752e-06,0.2891457974910736,0.9075342416763306,0.2522275149822235
29,0.8923304080963135,9.999999747378752e-06,0.2914648652076721,0.9023972749710083,0.2663913369178772
30,0.9059734344482422,9.999999747378752e-06,0.2670736312866211,0.9075342416763306,0.2614572048187256
31,0.8956489562988281,4.999999873689376e-06,0.28313109278678894,0.9075342416763306,0.2447873204946518
32,0.9078171253204346,4.999999873689376e-06,0.2626127302646637,0.9109588861465454,0.24694283306598663
33,0.9118731617927551,4.999999873689376e-06,0.23510698974132538,0.9075342416763306,0.24368508160114288
34,0.9155604839324951,4.999999873689376e-06,0.23640894889831543,0.9126712083816528,0.23652680218219757
35,0.9159291982650757,4.999999873689376e-06,0.23710069060325623,0.9126712083816528,0.23633970320224762
36,0.905236005783081,4.999999873689376e-06,0.2502904236316681,0.9126712083816528,0.23287197947502136
37,0.9151917695999146,4.999999873689376e-06,0.2313811033964157,0.914383590221405,0.23156824707984924
38,0.9129793643951416,4.999999873689376e-06,0.23707270622253418,0.9246575236320496,0.22936363518238068
39,0.9221976399421692,4.999999873689376e-06,0.22403624653816223,0.9195205569267273,0.22636355459690094
40,0.9303097128868103,4.999999873689376e-06,0.20414777100086212,0.9178082346916199,0.2376391738653183
41,0.9240412712097168,4.999999873689376e-06,0.22121556103229523,0.9160959124565125,0.22969062626361847
