epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
12,0.8001474738121033,9.999999747378752e-06,0.5906084179878235,0.8835616707801819,0.4030507504940033
13,0.8078908324241638,9.999999747378752e-06,0.5478534698486328,0.8852739930152893,0.3666168451309204
14,0.8148967623710632,9.999999747378752e-06,0.5093197822570801,0.8767123222351074,0.3512316346168518
15,0.8333333134651184,9.999999747378752e-06,0.4736616313457489,0.8989726305007935,0.33434340357780457
16,0.846238911151886,9.999999747378752e-06,0.4350784420967102,0.8869863152503967,0.3157188296318054
17,0.8469763994216919,9.999999747378752e-06,0.4257064461708069,0.8852739930152893,0.3060307204723358
18,0.8532448410987854,9.999999747378752e-06,0.40785279870033264,0.8972602486610413,0.29493477940559387
19,0.8547197580337524,9.999999747378752e-06,0.39087948203086853,0.8938356041908264,0.30194780230522156
20,0.8746312856674194,9.999999747378752e-06,0.3730613589286804,0.892123281955719,0.3007054924964905
21,0.8720501661300659,4.999999873689376e-06,0.3529982268810272,0.9023972749710083,0.28712236881256104
22,0.8683628439903259,4.999999873689376e-06,0.3580160140991211,0.892123281955719,0.2784624397754669
23,0.8812684416770935,4.999999873689376e-06,0.3396175503730774,0.9058219194412231,0.2767246961593628
24,0.8797935247421265,4.999999873689376e-06,0.3419489562511444,0.9075342416763306,0.2707863748073578
25,0.8893805146217346,4.999999873689376e-06,0.3226128816604614,0.9075342416763306,0.27419760823249817
26,0.887536883354187,4.999999873689376e-06,0.31919336318969727,0.8972602486610413,0.27043619751930237
27,0.8805309534072876,4.999999873689376e-06,0.324390709400177,0.9041095972061157,0.2704174816608429
28,0.8871681690216064,4.999999873689376e-06,0.3183917701244354,0.9075342416763306,0.27115511894226074
29,0.8886430859565735,2.499999936844688e-06,0.3072763681411743,0.9160959124565125,0.25799256563186646
30,0.8971238732337952,2.499999936844688e-06,0.28964000940322876,0.9041095972061157,0.2598564028739929
31,0.8915929198265076,2.499999936844688e-06,0.32191339135169983,0.909246563911438,0.25957706570625305
32,0.894911527633667,1.249999968422344e-06,0.3153674304485321,0.9075342416763306,0.25904759764671326
33,0.9033923149108887,1.249999968422344e-06,0.2781960964202881,0.9058219194412231,0.25756901502609253
34,0.8938053250312805,1.249999968422344e-06,0.2910265326499939,0.9075342416763306,0.2543473243713379
35,0.8967551589012146,1.249999968422344e-06,0.2896023988723755,0.9075342416763306,0.2559187710285187
36,0.8893805146217346,1.249999968422344e-06,0.29865479469299316,0.909246563911438,0.2547266483306885
37,0.9004424810409546,9.999999974752427e-07,0.28404244780540466,0.909246563911438,0.25433123111724854
38,0.898598849773407,9.999999974752427e-07,0.3023546636104584,0.9126712083816528,0.2528148591518402
39,0.9008111953735352,9.999999974752427e-07,0.2986591160297394,0.9109588861465454,0.2538151741027832
40,0.8971238732337952,9.999999974752427e-07,0.28969231247901917,0.9075342416763306,0.25455236434936523
41,0.8971238732337952,9.999999974752427e-07,0.28719428181648254,0.909246563911438,0.2539447844028473
